CRN,Subject,Course,INSM Code,Schedule Code,Description,Hrs,Start Date,Days,Begin,End,Building,Room,Instructor,Available Seats,Total Seats
1255,ACCT,0201,TRAD,CLS,Principles Financial Acct,3,01/12/2026,"T,R",0930,1045,PLASTR,102,Abu Sammour,60,60
1256,ACCT,0201,INET,DLR,Principles Financial Acct,3,01/12/2026,TBA,null,null,ONLINE,TBA,Dille,60,60
1257,ACCT,0202,TRAD,CLS,Principles Managerial Acct,3,03/09/2026,"T,R",0930,1045,PLASTR,102,Combs,60,60
1258,ACCT,0202,TRAD,CLS,Principles Managerial Acct,3,01/12/2026,"T,R",1100,1215,PLASTR,102,Dille,60,60
1259,ACCT,0202,INET,DLR,Principles Managerial Acct,3,01/12/2026,TBA,null,null,ONLINE,TBA,Abu Sammour,60,60
1260,ACCT,0309,TRAD,CLS,Accounting Information Systems,3,01/12/2026,"T,R",0930,1045,PLASTR,303,Dille,30,30
1264,ACCT,0322,TRAD,CLS,Intermediate Accounting II,3,01/12/2026,"T,R",1100,1215,PLASTR,103,Abu Sammour,35,35
1265,ACCT,0322,INET,DLR,Intermediate Accounting II,3,01/12/2026,TBA,null,null,ONLINE,TBA,Abu Sammour,35,35
1267,ACCT,0385,INET,DLR,Cost Accounting,3,01/12/2026,TBA,null,null,ONLINE,TBA,Combs,35,35
1269,ACCT,0408,TRAD,CLS,Tax Accounting II,3,01/12/2026,"T,R",1100,1215,PLASTR,303,Combs,35,35
1272,ACCT,0491,INDV,INT,Internship in Accounting,1,01/12/2026,TBA,null,null,TBA,TBA,Dille,5,5
1274,ACCT,0491,INDV,INT,Internship in Accounting,2,01/12/2026,TBA,null,null,TBA,TBA,Dille,5,5
1291,ACCT,0491,INDV,INT,Internship in Accounting,3,01/12/2026,TBA,null,null,TBA,TBA,Dille,5,5
1298,ACCT,0580,INET,GDL,Managerial Accounting,3,01/12/2026,TBA,null,null,ONLINE,TBA,Combs,25,25
1300,AGBS,0300,INET,DLR,Agricultural Marketing,3,01/12/2026,TBA,null,null,ONLINE,TBA,Eronmwon,35,35
1299,AGBS,0301,HYBD,CMB,Introduction to Econometrics,3,01/12/2026,W,1100,1250,PLASTR,103,Eronmwon,35,35
1289,ANTH,0370,INET,DLR,Globalization & Native People,3,01/12/2026,TBA,null,null,ONLINE,TBA,Greer,22,22
1288,ANTH,0385,TRAD,CLS,Language & Culture,3,01/12/2026,"T,R",1300,1415,WEBSTR,208,Greer,28,28
1290,ANTH,0570,INET,GDL,Globalization & Native People,3,01/12/2026,TBA,null,null,ONLINE,TBA,Greer,10,10
1550,ART,0101,TRAD,LLB,Two-Dimensional Design,3,01/12/2026,"M,W",0900,1129,FINART,202,TBA,16,16
1551,ART,0103,TRAD,LLB,Three-Dimensional Design,3,01/12/2026,"T,R",0900,1129,FINART,105,Murray,10,10
1552,ART,0110,TRAD,CLS,Art Appreciation,3,01/12/2026,"M,W,F",1000,1050,LEONHS,167,Stotts,50,50
1553,ART,0110,TRAD,CLS,Art Appreciation,3,01/12/2026,"M,W,F",1300,1350,LEONHS,167,Schaaf,50,50
1554,ART,0110,INET,DLR,Art Appreciation,3,01/12/2026,TBA,null,null,ONLINE,TBA,O'Donnell,38,38
1555,ART,0110,INET,DLR,Art Appreciation,3,01/12/2026,TBA,null,null,ONLINE,TBA,TBA,38,38
1557,ART,0110,INET,DLR,Art Appreciation,3,03/09/2026,TBA,null,null,ONLINE,TBA,TBA,38,38
1561,ART,0110,INET,DLR,Art Appreciation (Dual Credit),3,01/12/2026,TBA,null,null,ONLINE,TBA,Mintert,38,38
